boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance
7;28;4;11;10;8
38;33;39;27;26;5
20;5;22;23;18;5
9;23;17;42;6;5
33;4;35;22;2;7
22;12;38;13;14;2
20;27;21;26;7;7
37;30;24;27;45;10
30;26;48;41;47;6
1;12;41;7;21;4
14;23;22;45;36;7
21;33;4;14;32;1
4;44;29;32;24;4
23;45;7;2;46;10
6;33;7;9;15;2
23;37;38;7;15;3
37;30;17;12;41;2
46;20;13;47;8;7
6;27;5;21;47;9
8;13;1;43;31;10
31;36;42;23;8;7
44;20;11;9;42;4
45;46;4;13;33;7
10;39;33;9;47;5
4;41;30;27;21;6
36;29;44;46;35;8
32;3;22;18;17;10
3;15;13;29;40;10
6;20;48;12;38;7
23;22;33;36;10;6
15;6;11;28;24;10
12;34;16;26;10;7
16;48;21;5;26;10
40;10;37;34;12;5
20;2;29;39;18;10
10;26;46;35;5;9
44;38;33;49;41;7
1;49;12;39;24;3
11;5;32;49;9;6
16;47;33;21;5;5
32;8;21;41;25;4
8;27;29;15;41;4
37;26;36;14;1;3
46;4;3;43;22;6
43;9;21;36;27;2
29;39;28;22;30;3
33;15;6;12;14;8
2;6;10;32;17;5
32;24;49;39;40;1
22;24;41;21;32;2
26;13;29;15;20;5
45;22;28;40;37;10
44;48;31;46;21;1
37;15;18;31;46;3
48;31;24;11;38;9
11;37;49;28;40;4
25;32;31;36;10;8
42;29;25;46;8;9
14;16;33;38;45;10
15;38;7;4;40;2
26;3;39;17;30;8
44;27;41;8;43;6
4;27;5;15;22;9
19;10;30;13;47;8
23;20;1;26;44;4
14;43;34;41;35;9
22;42;43;17;25;10
17;45;30;32;6;4
33;36;34;38;22;5
30;36;14;6;39;5
21;18;33;49;48;7
32;20;6;12;14;8
6;25;48;21;37;10
41;20;46;11;24;1
22;23;12;47;25;1
10;46;2;31;38;8
34;47;11;37;38;8
23;38;36;18;19;1
16;45;34;42;26;9
28;26;1;30;16;4
29;16;36;7;15;6
23;18;34;5;44;5
26;18;3;49;46;6
30;26;35;44;31;4
25;28;46;12;27;4
14;34;39;24;47;8
19;12;8;41;16;5
44;9;18;17;42;8
37;40;36;4;43;6
34;7;8;41;42;8
39;13;12;31;26;6
31;12;9;40;41;2
44;32;11;48;7;3
19;2;18;22;4;3
7;39;31;38;42;10
47;27;26;43;1;6
46;11;43;12;30;9
41;16;44;27;15;9
31;48;43;37;3;10
6;36;35;10;48;9
26;35;16;22;42;4
41;27;36;35;9;6
23;15;46;5;37;10
21;20;19;43;49;10
26;7;1;9;28;3
22;29;19;15;34;3
44;34;20;8;41;2
44;15;5;19;7;1
6;46;35;20;8;9
6;39;28;13;33;10
12;26;31;40;37;3
20;35;49;18;16;1
5;40;13;14;9;1
12;10;45;15;31;5
39;38;21;2;9;2
48;22;4;30;27;7
4;30;24;21;40;4
5;3;49;33;15;8
7;34;27;12;15;4
3;31;36;13;40;9
41;49;30;45;35;3
49;27;32;24;17;7
32;34;18;44;3;9
48;43;46;11;8;9
19;9;29;26;3;8
